% pa1
A a
刓 wan2
刖 yue4
列 lie4
刜 fu2
初 chu1
刞 qu4
刡 min3
判 pan4
别 bie2,bie4
劫 jie2
刨 pao2,bao4
利 li4
删 shan1
刮 gua1
到 dao4
刱 chuang4
刲 kui1
刳 ku1
刴 duo4
刵 er4
制 zhi4
刷 shua1,shua4
券 quan4
刺 ci4,ci1
刻 ke4
刾 ci4
剁 duo4
剃 ti4
刭 jing3
则 ze2
锉 cuo4
削 xue1,xiao1
剌 la2,la4
前 qian2
刹 sha1,cha4
创 chuang4,chuang1
剒 cuo4
剔 ti1
剕 fei4
剖 pou1
刬 chan3
剚 zi4
刚 gang1
剜 wan1
剥 bo1,bao1
剞 ji1
剟 duo1
剡 shan4,yan3
剣 jian4
剤 ji4
剩 sheng4
剪 jian3
剐 gua3
副 fu4
剰 sheng4
割 ge1
剳 da2
札 zha2
剀 kai3
铲 chan3
剸 tuan2
戮 lu4
剺 li2
剽 piao1
剿 jiao3,chao1
劁 qiao1
劂 jue2
劄 zha1
剧 ju4
劈 pi1,pi3
刘 liu2
刽 gui4
刿 gui4
剑 jian4
剂 ji4
劓 yi4
劖 chan2
劘 mo2
劙 li2
力 li4
功 gong1
加 jia1
劣 lie4
劦 xie2,lie4
助 zhu4
努 nu3
劬 qu2
劭 shao4
劮 yi4
労 lao2
劵 juan4
劻 kuang1
劼 jie2
劾 he2
劲 jin4,jing4
勃 bo2
勄 min3
敕 chi4
勇 yong3
勈 yong3
勉 mian3
勍 qing2
勐 meng3
勒 lei1,le4
勔 mian3
动 dong4
勖 xu4
勗 xu4
勘 kan1
务 wu4
勋 xun1
胜 sheng4
劳 lao2
募 mu4
势 shi4
𪟝 ji4
勤 qin2
勧 quan4
勚 yi4
勯 dan1
勰 xie2
劢 mai4
励 li4
勷 rang2
劝 quan4
勹 bao1
勺 shao2
匀 yun2
勾 gou1,gou4
勿 wu4
匁 xx5
包 bao1
匆 cong1
匈 xiong1
匉 peng1
匊 ju1
匋 tao2
匍 pu2
匏 pao2
匐 fu2
匑 gong1
匔 gong1
匕 bi3
化 hua4,hua1
北 bei3
匘 nao3
匙 chi2
匚 fang1
匜 yi2
匝 za1
匞 jiang4
炕 kang4
匠 jiang4
匡 kuang1
匣 xia2
匧 qie4
匪 fei3
匦 gui3
汇 hui4
匮 kui4,gui4
奁 lian2
匴 suan3
匵 du2
匶 jiu4
匸 xi4
匹 pi3,pi1
匽 yan3
匾 bian3,pian2
匿 ni4
区 qu1,ou1
十 shi2
卂 xun4
千 qian1
卄 nian4
卅 sa4
卆 zu2
升 sheng1
午 wu3
卉 hui4
半 ban4
卋 shi4
卌 xi4
卍 wan4
卐 wan4
卑 bei1
卓 zhuo2
协 xie2
南 nan2
単 dan1
博 bo2
卛 shuai4,lv4
卜 bo5,bu3
卝 kuang4,guan4
卞 bian4
卟 bu3
卡 ka3,qia3
卣 you3
卦 gua4
卨 xie4
卩 jie2
卪 jie2,xx5
卬 ang2
卮 zhi1
卯 mao3
印 yin4
危 wei1
卲 shao4
即 ji2
卵 luan3
卷 juan3,juan4
卸 xie4
卼 wu4
卽 ji2
卿 qing1
膝 xi1
厂 chang3,han3
厄 e4
厎 zhi3
厓 ya2
厔 zhi4
厖 pang2
厗 ti2
厘 li2
厍 she4
厚 hou4
厜 zui1
厝 cuo4
厞 fei4
原 yuan2
厕 ce4,si4
历 li4
厥 jue2
厪 jin3,qin2
厌 yan4
厮 si1
厰 chang3
厉 li4
厳 yan2
厣 yan3
厶 si1,mou3
厷 gong1,hong2
厹 rou2,qiu2
厺 qu4
去 qu4
厼 xx5
厾 du1
叁 san1
参 can1,shen1
叄 san1
又 you4
叉 cha1,cha2,cha3
及 ji2
友 you3
反 fan3
収 shou1
叒 ruo4
叔 shu1
叕 zhuo2
取 qu3
受 shou4
叛 pan4
叟 sou3
睿 rui4
丛 cong2
口 kou3
古 gu3
句 ju4,gou1
另 ling4
叨 dao1,tao1
叩 kou4
只 zhi3,zhi1
叫 jiao4
召 zhao4,shao4
叭 ba1
叮 ding1
可 ke3,ke4
台 tai2
叱 chi4
史 shi3
右 you4
叵 po3
叶 ye4,xie2
司 si1
叻 le4
叼 diao1
吁 xu1,yu4
吃 chi1
各 ge4
吅 xuan1,song4
吆 yao1
合 he2,ge3
吉 ji2
吊 diao4
吋 cun4
名 ming2
后 hou4
吏 li4
吐 tu3,tu4
向 xiang4
吒 zha1,zha4
吔 ye1
吖 a1
咿 yi1
君 jun1
吜 chou3
吝 lin4
吞 tun1
吟 yin2
吠 fei4
吡 bi3
吥 bu4
否 fou3,pi3
吧 ba5,ba1,bia1
吩 fen1
吪 e2
含 han2
听 ting1,yin3,ting4
吭 keng1,hang2
吮 shun3
吰 hong2
吱 zhi1,zi1
吲 yin3
吴 wu2
吵 chao3
呐 na4,na5
吸 xi1
吹 chui1
吻 wen3
吼 hou3
吽 hong1,hou3
吾 wu2
呀 ya5
吕 lv3
呃 e4
呆 dai1
呇 qi3
呈 cheng2
呉 wu2
告 gao4
呋 fu1
呎 chi3
呏 sheng1
呔 tai1
呝 e4
呠 pen1
呡 wen3
呢 ne5,ni2
呣 m2,m4
呤 ling2
呦 you1
呧 di3
周 zhou1
咒 zhou4
呫 tie4,zhan1
呬 xi4
呯 ping2
呰 zi3
呱 gu1
呲 ci1,zi1
味 wei4
呴 xu1
呵 he1,a1
呶 nao2,nu3
呷 xia1
呸 pei1
呺 xiao1
呻 shen1
呼 hu1
命 ming4
呿 qu1
咀 ju3
咁 gan1
咂 za1
咄 duo1
咅 pou3
咆 pao2
咇 bi4
咈 fu2
和 he2,he4,hu2,huo2,huo4
咋 za3,ze2,zha4
咍 hai1
咎 jiu4
咐 fu4
咑 da1
咔 ka3
咕 gu1
咖 ka1
咗 zuo3
咚 dong1
咠 qi4
咡 er4
咢 e4
咣 guang1
咤 zha4
咥 xi4,die2
咦 yi2
咧 lie3,lie1,lie5
咨 zi1
咩 mie1
咪 mi1
咫 zhi3
咬 yao3
咭 ji1
咮 zhou4
咯 ge1,lo5,luo4
笑 xiao4
咳 hai1,ke2
咴 hui1
啕 tao2
咸 xian2
咹 e4
咺 xuan3
咻 xiu1
呙 guo1,wai1
咽 yan4,yan1,ye4
咾 lao3
哀 ai1
品 pin3
哂 shen3
哄 hong1,hong3,hong4
哆 duo1
哇 wa5,wa1
哈 ha1,ha3
哉 zai1
哋 di4
哌 pai4
哎 ai1
哏 gen2,hen3
哐 kuang1
哚 duo3
哞 mou1
员 yuan2
哢 long4
哤 mang2
哥 ge1
哦 o2,e2,o4,o5
哧 chi1
哨 shao4
哩 li3,li5
哪 na3,na5,nei3
哫 zu2
哭 ku1
哮 xiao4
哰 lao2
哱 bo1
哲 zhe2
哳 zha1
哺 bu3,bu1,bu4
哼 heng1
哽 geng3
哿 ge3
唁 yan4
唂 gu1
唃 gu1
呗 bei5,bai4
唅 han1
唆 suo1
唇 chun2
唈 yi4
唉 ai1,ai4
唊 jia2
唎 li4,li5
唏 xi1
唐 tang2
唑 zuo4
唔 wu2
唣 zao4
启 qi3
吣 qin4
唞 dou3
唧 ji1
唪 feng3
唫 jin4,yin2
唬 hu3
售 shou4
唯 wei2,wei3
唰 shua1
唱 chang4
唲 er2
唳 li4
唵 an3
唶 jie4
唷 yo1,yo5
念 nian4
唹 yu2
唻 lai4
唼 sha3
唾 tuo4
唿 hu1
啁 zhou1
啃 ken3
啄 zhuo2
啅 zhao4
商 shang1
啉 lin2
啊 a5,a1,a2,a3,a4
啍 tun1
啎 wu3
问 wen4
啐 cui4
喋 die2
啖 dan4
啜 chuo4
哑 ya3,ya1
啡 fei1
唡 liang3
衔 xian2
啤 pi2
啥 sha2
啦 la5,la1
啪 pa1
啫 zhe3
啱 yan1
啲 di1
啵 bo1,bo5
啶 ding4
啷 lang1
啺 tang2
啻 chi4
啼 ti2
啽 an2
啾 jiu1
喀 ka1
